counts,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Total
Monroe County,14099,13791,13553,13360,13189,12979,12580,11959,11549,11297,11154,10999,11021,11278,11344,11351,11534,11615,11732,11767,242151
Nassau County,14279,14410,14477,14705,14977,14934,15037,15218,15467,15802,15942,15933,15914,15890,15734,15688,15529,15728,16054,16465,308183
Okaloosa County,42577,42362,42247,42064,42665,42803,43358,43444,42866,42187,41223,40771,40227,40800,42590,42921,43376,43869,44369,45065,851784
Okeechobee County,9044,9113,9050,9189,9241,9231,9514,9592,9678,9668,9627,9584,9542,9394,9145,8945,8859,8804,8924,8839,184983
Orange County,216625,221699,227604,234513,239795,244039,251579,261983,267982,268206,267682,268075,269977,272657,277177,281206,286525,292397,298471,301983,5250175
Osceola County,42814,44778,46637,48533,51043,54309,58238,61397,65527,68468,70080,69999,70428,72124,74260,76296,78641,81133,84035,86747,1305487
Palm beach County,231514,237153,241135,246604,252694,257765,264838,269899,270379,267751,266281,266992,268788,269260,270323,272412,274996,278462,281789,283212,5272247
Pasco County,66273,67832,70149,73255,76697,79839,84315,89067,93513,96977,98877,98457,98493,97561,97613,97892,99309,101723,104187,107248,1799277
Pinellas County,175918,177028,177508,178232,178077,177341,176288,175410,173173,169824,166604,163932,162220,160899,160000,159930,160110,160090,160566,159888,3373038
Polk County,115965,117291,118441,120283,121973,124171,126960,131731,137271,141567,142489,141854,141402,141098,141169,142251,144249,147005,149815,153297,2700282
Putnam County,17704,17487,17284,17243,17413,17318,17363,17564,17658,17707,17466,17006,16684,16398,16043,15836,15611,15575,15664,15907,336931
St. Johns County,26934,27663,28736,29984,31430,33001,35263,37432,39662,41197,42465,43189,43945,44559,45193,46554,48000,49875,51700,53384,800166
St. Lucie County,42908,43319,43687,44522,45852,47503,50598,53851,57581,61191,62577,61677,61896,61431,61244,60691,60700,61221,62094,62999,1107542
