,Year,COUNTY NAME,TOTAL ARRESTS,JUVENILE POP,CRIME RATE
47,1999,Orange,7160,221699,3.229604102860184
48,1999,Osecola,1041,44778,2.3248023583009516
49,1999,Palm Beach,7004,237153,2.9533676571664707
50,1999,Pasco,1720,67832,2.535676376931242
51,1999,Pinellas,7989,177028,4.512845425582394
52,1999,Polk,3284,117291,2.7998738181105116
53,1999,Putnam,313,17487,1.7899010693658144
54,1999,Santa Rosa,1170,27663,4.229476195640386
55,1999,Sarasota,1499,43319,3.46037535492509
56,1999,Seminole,2390,31085,7.688595785748753
57,1999,St. Johns,482,52435,0.9192333365118719
58,1999,St. Lucie,1326,91968,1.4418058455114822
59,1999,Sumter,228,8520,2.676056338028169
60,1999,Suwannee,177,8344,2.1212847555129435
61,1999,Taylor,110,4848,2.268976897689769
62,1999,Union,61,2962,2.059419311276165
63,1999,Volusia,3039,89244,3.4052709425843757
64,1999,Wakulla,284,5791,4.904161630115697
65,1999,Walton,252,8749,2.880329180477769
66,1999,Washington,79,4924,1.6043866774979691
0,2000,Alachua,2192,43856,4.998175848230573
1,2000,Baker,157,6156,2.5503573749187782
2,2000,Bay,1553,35580,4.364811691961776
3,2000,Bradford,59,5719,1.0316488896660254
4,2000,Brevard,4414,104852,4.209743257162477
5,2000,Broward,12726,384383,3.310760361410364
6,2000,Calhoun,8,3008,0.26595744680851063
7,2000,Charlotte,626,22252,2.8132302714362756
8,2000,Citrus,531,20403,2.6025584472871635
9,2000,Clay,1045,39557,2.6417574639128345
10,2000,Collier,2668,50421,5.291446024473929
11,2000,Columbia,186,14334,1.297614064462118
12,2000,Desoto,212,7301,2.9037118202985894
13,2000,Dixie,61,3039,2.0072392234287593
14,2000,Duval,7265,204684,3.5493736686795256
15,2000,Escambia,2424,69246,3.500563209427259
16,2000,Flagler,295,9054,3.258228407333775
17,2000,Franklin,27,1988,1.358148893360161
18,2000,Gadsden,237,11880,1.994949494949495
19,2000,Gilchrist,59,3545,1.6643159379407617
20,2000,Glades,44,2340,1.8803418803418803
21,2000,Gulf,73,2909,2.5094534204193883
22,2000,Hamilton,109,3121,3.4924703620634414
23,2000,Hardee,162,7402,2.1885976763037016
24,2000,Hendry,277,10865,2.549470777726645
25,2000,Hernando,566,24862,2.276566647896388
26,2000,Highlands,651,16713,3.8951714234428287
27,2000,Hillsborough,10315,253804,4.064159745315283
28,2000,Holmes,108,4274,2.526906878802059
29,2000,Indian River,977,21774,4.487002847432718
30,2000,Jackson,114,10434,1.0925819436457735
31,2000,Jefferson,115,2922,3.9356605065023955
32,2000,Lafayette,3,1529,0.1962066710268149
33,2000,Lake,1970,43154,4.565046113917597
34,2000,Lee,3252,86965,3.7394354050480074
35,2000,Leon,1387,51093,2.714657585187795
36,2000,Levy,191,8177,2.3358199828788067
37,2000,Liberty,18,1519,1.184990125082291
38,2000,Madison,92,4729,1.9454430112074435
39,2000,Manatee,1661,55019,3.018957087551573
40,2000,Marion,3029,55601,5.447743745616086
41,2000,Martin,1495,23705,6.306686353090066
42,2000,Miami-Dade,20113,558514,3.6011630863326616
43,2000,Monroe,348,13553,2.5676971888142845
44,2000,Nassau,275,14477,1.8995648269669132
45,2000,Okaloosa,1403,42247,3.3209458659786493
46,2000,Okeechobee,255,9050,2.81767955801105
47,2000,Orange,6659,227604,2.925695506230119
48,2000,Osecola,1195,46637,2.5623432038939042
49,2000,Palm Beach,6380,241135,2.6458208057727
50,2000,Pasco,1777,70149,2.5331793753296554
51,2000,Pinellas,7262,177508,4.091083218784505
52,2000,Polk,3704,118441,3.1272954466780933
53,2000,Putnam,488,17284,2.823420504512844
54,2000,Santa Rosa,1152,28736,4.008908685968819
55,2000,Sarasota,1285,43687,2.9413784420994804
56,2000,Seminole,2654,31398,8.452767692209695
57,2000,St. Johns,505,52984,0.9531179223916654
58,2000,St. Lucie,1394,93020,1.498602451085788
59,2000,Sumter,170,8534,1.9920318725099602
60,2000,Suwannee,199,8427,2.3614572208377833
61,2000,Taylor,121,4717,2.565189739241043
62,2000,Union,47,2942,1.5975526852481305
63,2000,Volusia,3549,90052,3.9410562785945893
64,2000,Wakulla,285,5873,4.85271581815086
65,2000,Walton,297,8830,3.3635334088335225
66,2000,Washington,111,4912,2.259771986970684
0,2001,Alachua,2403,43498,5.524391926065566
1,2001,Baker,170,6129,2.7736988089410994
2,2001,Bay,1780,35816,4.969845878936788
3,2001,Bradford,96,5700,1.6842105263157894
4,2001,Brevard,4835,106178,4.5536740191000025
