,NAME,YRDATA,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,TCURINST,TCURSSVC,TCURONON,TCAPOUT
0,ALACHUA COUNTY SCHOOL DISTRICT,2016,9.702166865722573,1.2701245521242108,4.333970312233407,4.0980720013649545,9.340385599727009,4.968435420576693,3.352738440539157,0.6263436273673435,0.3287152363077973
1,BAKER COUNTY SCHOOL DISTRICT,2016,8.530387844862055,0.9654138344662135,6.0653738504598165,1.4996001599360256,8.362055177928829,4.367453018792483,3.266693322670932,0.5659736105557777,0.14554178328668532
2,BAY COUNTY SCHOOL DISTRICT,2016,9.979338396745977,0.9344156077894964,3.9815341420395236,5.063388646916958,9.527590799467262,5.411936215399014,2.6670026276951875,0.5413052085958029,0.7978834455203196
3,BRADFORD COUNTY SCHOOL DISTRICT,2016,10.011228945726762,1.5748596381784155,5.697130380536494,2.739238927011853,9.352776044915784,5.072052401746725,3.243605739238927,0.9454148471615721,0.08359326263256395
4,BREVARD COUNTY SCHOOL DISTRICT,2016,9.96892880721831,1.0373019366197183,4.560299295774648,4.371327574823944,9.390129841549296,5.29252860915493,2.8291840889084505,0.4557245818661972,0.526518485915493
5,BROWARD COUNTY SCHOOL DISTRICT,2016,9.688173081925544,1.0341659915718437,3.7356687898089174,4.918338300544783,9.858456770395915,5.540397921946651,2.85044481935949,0.6688009572720719,0.4874878297125954
6,CALHOUN COUNTY SCHOOL DISTRICT,2016,10.27087114337568,1.3262250453720508,6.7536297640653356,2.191016333938294,14.481397459165155,5.098457350272232,3.5921052631578947,0.7168784029038112,5.073956442831216
7,CHARLOTTE COUNTY SCHOOL DISTRICT,2016,10.582280057281613,1.3878338833198431,2.0918373700267727,7.102608803934998,10.801319967623435,5.319220471950688,3.666645912458751,0.6566216300354897,0.9360562854118673
8,CITRUS COUNTY SCHOOL DISTRICT,2016,9.428393442622951,1.0896393442622951,3.8311475409836064,4.507606557377049,9.762754098360656,5.0462295081967214,3.357114754098361,0.6183606557377049,0.7049180327868853
9,CLAY COUNTY SCHOOL DISTRICT,2016,8.926824608330149,0.7686282002292701,5.585485015557618,2.572711392543261,8.428325781975,5.240269665374748,2.4488782138763034,0.45130738577433266,0.22856051094492058
10,COLLIER COUNTY SCHOOL DISTRICT,2016,12.417706657390095,1.168652432926034,1.8115406357350958,9.437513588728965,11.421272339870418,6.030634430577901,3.5739661695003697,0.6897856242118537,0.8061051441492368
11,COLUMBIA COUNTY SCHOOL DISTRICT,2016,9.048255528255527,1.2663390663390663,5.665749385749386,2.116167076167076,8.748206388206388,4.9402457002457005,3.0115970515970516,0.5211793611793611,0.19508599508599508
12,MIAMI-DADE COUNTY PUBLIC SCHOOL DISTRICT,2016,10.041901230217658,1.2067794808979275,3.0788105565483432,5.7563111927713875,10.22074003227259,5.748128385615487,2.7405216749305747,0.6915534748964565,0.6565122672192718
13,DE SOTO COUNTY SCHOOL DISTRICT,2016,9.546633724521309,1.46201358863496,5.578958204653078,2.5056619312332717,9.751080914144534,4.9246448424953675,3.9672637430512663,0.6950792670372657,0.1531809759110562
14,DIXIE COUNTY SCHOOL DISTRICT,2016,18.704716981132076,1.504245283018868,15.086792452830188,2.1136792452830186,18.27122641509434,4.739622641509434,3.6617924528301886,0.6363207547169811,9.22688679245283
15,DUVAL COUNTY SCHOOL DISTRICT,2016,9.378839247012198,1.1651185831940059,4.57892129543625,3.6347993683819433,9.777323673292464,5.4735045513654095,2.979905876524862,0.4581630441513406,0.7449687287138522
16,ESCAMBIA COUNTY SCHOOL DISTRICT,2016,9.699200590333293,1.2512114131103185,4.731816504734965,3.7161726724880086,9.674037633747387,4.931373754765711,3.3001106874923134,0.622506456770385,0.7794613208707416
17,FLAGLER COUNTY SCHOOL DISTRICT,2016,9.961110252048863,1.036956857893923,3.5226534714705426,5.401499922684398,9.475877532085976,4.983377145507964,2.838642338023813,0.7843667852172569,0.6707901654553889
18,FRANKLIN COUNTY SCHOOL DISTRICT,2016,13.027173913043478,2.2453416149068324,2.2585403726708075,8.523291925465838,12.21972049689441,6.641304347826087,3.767857142857143,0.9767080745341615,0.4697204968944099
19,GADSDEN COUNTY SCHOOL DISTRICT,2016,10.158284533241474,2.4302445745780226,5.572855666551843,2.155184292111609,9.928522218394765,4.8057182225284185,4.146055804340338,0.8666896314157768,0.08353427488804685
20,GILCHRIST COUNTY SCHOOL DISTRICT,2016,10.861443598113892,2.2002176278563654,6.341313021400072,2.319912948857454,10.690243017772941,5.6300326441784545,4.235400797968807,0.7210736307580704,0.09974610083424011
21,GLADES COUNTY SCHOOL DISTRICT,2016,10.772781774580336,1.3645083932853717,6.42326139088729,2.9850119904076737,11.317745803357314,5.726019184652278,4.059952038369304,0.6354916067146283,0.88189448441247
22,GULF COUNTY SCHOOL DISTRICT,2016,10.429083461341525,1.0235535074244753,3.159242191500256,6.246287762416794,10.311827956989248,5.296466973886329,4.0906298003072195,0.5975422427035331,0.3154121863799283
23,HAMILTON COUNTY SCHOOL DISTRICT,2016,11.69005175388154,2.4577343300747554,5.65382403680276,3.578493387004025,12.52041403105233,4.666474985623922,5.2668200115008625,0.9062679700977573,1.6762507188039102
24,HARDEE COUNTY SCHOOL DISTRICT,2016,9.386021710150448,1.445058084174443,5.421253094648638,2.519710531327366,9.606360693201294,5.070843648828794,3.5105694153494573,0.6556846314987621,0.3429822890877928
25,HENDRY COUNTY SCHOOL DISTRICT,2016,9.440438219387048,1.649424490361947,5.665649701844404,2.125364027180696,9.713077243100818,5.312439328803217,3.23824712245181,0.6307030924975732,0.5175426431840244
