District Number,District Name,% Meeting High Standards in Reading,% Meeting High Standards in Math,% Meeting High Standards in Writing,% Meeting High Standards in Science,% Making Reading Gains ,% Making Math Gains,% of Lowest 25% Making Learning Gains in Reading ,% of Lowest 25% Making Learning Gains in Math,Points Earned (Sum of Previous 8 Columns),Percent Tested,50% or More of Lowest 25% of Readers Making Learning Gains - 2010,50% or More of Lowest 25% of Students Making Learning Gains in Math - 2010,50% or More of Lowest 25% of Readers Making Learning Gains - 2011,50% or More of Lowest 25% of Students Making Learning Gains in Math - 2011,Grade 2011,Grade 2010,Grade 2009,Grade 2008,Grade 2007,Grade 2006,Grade 2005,Grade 2004
51,PASCO,68,70,80,50,60,69,57,66,520,99,YES,YES,YES,YES,B,B,A,A,B,B,B,B
52,PINELLAS,66,68,85,46,59,64,55,61,504,98,YES,YES,YES,YES,B,B,B,B,B,B,B,B
53,POLK,60,66,81,41,57,62,56,63,486,99,YES,YES,YES,YES,C,B,B,B,C,B,C,C
54,PUTNAM,58,68,80,39,58,67,56,65,491,98,YES,YES,YES,YES,C,C,B,C,C,C,C,B
55,ST. JOHNS,82,87,89,67,68,73,61,67,594,99,YES,YES,YES,YES,A,A,A,A,A,A,A,A
56,ST. LUCIE,61,69,84,45,58,68,58,69,512,99,YES,YES,YES,YES,B,B,B,B,C,B,C,B
57,SANTA ROSA,80,83,88,62,66,71,60,66,576,99,YES,YES,YES,YES,A,A,A,A,A,A,A,A
58,SARASOTA,78,82,88,64,65,72,59,66,574,99,YES,YES,YES,YES,A,A,A,A,A,A,A,A
59,SEMINOLE,77,83,86,61,65,73,57,67,569,99,YES,YES,YES,YES,A,A,A,A,A,A,A,A
60,SUMTER,74,80,91,58,63,71,56,66,559,100,YES,YES,YES,YES,A,A,A,A,B,A,B,B
61,SUWANNEE,60,65,78,43,59,65,57,65,492,98,NO,YES,YES,YES,C,C,B,C,C,C,C,C
62,TAYLOR,63,66,77,39,59,64,59,61,488,98,YES,YES,YES,YES,C,C,B,B,B,C,C,C
63,UNION,69,76,91,50,60,68,57,69,540,98,YES,YES,YES,YES,A,B,A,C,B,B,B,B
64,VOLUSIA,68,71,82,57,59,65,55,63,520,99,YES,YES,YES,YES,B,B,A,A,B,B,B,A
65,WAKULLA,76,79,83,58,65,70,60,67,558,99,YES,YES,YES,YES,A,A,A,A,A,A,B,A
66,WALTON,72,80,83,54,62,73,55,67,546,99,YES,YES,YES,YES,A,A,A,A,A,A,B,B
67,WASHINGTON,68,69,72,45,61,63,59,59,496,99,NO,YES,YES,YES,B,C,B,C,B,B,B,B
