12 00030 ALACHUA COUNTY SCHOOL DISTRICT                                      221973    32319     5105 sd01_FL.dat 01DEC2004 
12 00060 BAKER COUNTY SCHOOL DISTRICT                                         23190     4559      761 sd01_FL.dat 01DEC2004 
12 00090 BAY COUNTY SCHOOL DISTRICT                                          152313    27125     4790 sd01_FL.dat 01DEC2004 
12 00120 BRADFORD COUNTY SCHOOL DISTRICT                                      26162     4211      827 sd01_FL.dat 01DEC2004 
12 00150 BREVARD COUNTY SCHOOL DISTRICT                                      496018    82931    10172 sd01_FL.dat 01DEC2004 
12 00180 BROWARD COUNTY SCHOOL DISTRICT                                     1704364   301190    43115 sd01_FL.dat 01DEC2004 
12 00210 CALHOUN COUNTY SCHOOL DISTRICT                                       12751     2145      510 sd01_FL.dat 01DEC2004 
12 00240 CHARLOTTE COUNTY SCHOOL DISTRICT                                    149862    18262     2676 sd01_FL.dat 01DEC2004 
12 00270 CITRUS COUNTY SCHOOL DISTRICT                                       123701    16749     3218 sd01_FL.dat 01DEC2004 
12 00300 CLAY COUNTY SCHOOL DISTRICT                                         152017    31633     3011 sd01_FL.dat 01DEC2004 
12 00330 COLLIER COUNTY SCHOOL DISTRICT                                      275898    40588     6038 sd01_FL.dat 01DEC2004 
12 00360 COLUMBIA COUNTY SCHOOL DISTRICT                                      58406    10789     2265 sd01_FL.dat 01DEC2004 
12 00390 DADE COUNTY SCHOOL DISTRICT                                        2316519   418032    92001 sd01_FL.dat 01DEC2004 
12 00420 DESOTO COUNTY SCHOOL DISTRICT                                        32926     5385     1606 sd01_FL.dat 01DEC2004 
12 00450 DIXIE COUNTY SCHOOL DISTRICT                                         13968     2233      623 sd01_FL.dat 01DEC2004 
12 00480 DUVAL COUNTY SCHOOL DISTRICT                                        804391   154318    22843 sd01_FL.dat 01DEC2004 
12 00510 ESCAMBIA COUNTY SCHOOL DISTRICT                                     295964    51371    10866 sd01_FL.dat 01DEC2004 
12 00540 FLAGLER COUNTY SCHOOL DISTRICT                                       57505     7991     1233 sd01_FL.dat 01DEC2004 
