12 00030 ALACHUA COUNTY SCHOOL DISTRICT                                      223578    31896     5059 sd02_FL.dat 01DEC2004 
12 00060 BAKER COUNTY SCHOOL DISTRICT                                         23424     4475      679 sd02_FL.dat 01DEC2004 
12 00090 BAY COUNTY SCHOOL DISTRICT                                          155193    27386     4648 sd02_FL.dat 01DEC2004 
12 00120 BRADFORD COUNTY SCHOOL DISTRICT                                      26928     4229      779 sd02_FL.dat 01DEC2004 
12 00150 BREVARD COUNTY SCHOOL DISTRICT                                      505711    83397     9629 sd02_FL.dat 01DEC2004 
12 00180 BROWARD COUNTY SCHOOL DISTRICT                                     1731347   306758    42793 sd02_FL.dat 01DEC2004 
12 00210 CALHOUN COUNTY SCHOOL DISTRICT                                       12921     2150      467 sd02_FL.dat 01DEC2004 
12 00240 CHARLOTTE COUNTY SCHOOL DISTRICT                                    153392    18719     2561 sd02_FL.dat 01DEC2004 
12 00270 CITRUS COUNTY SCHOOL DISTRICT                                       126458    17019     3156 sd02_FL.dat 01DEC2004 
12 00300 CLAY COUNTY SCHOOL DISTRICT                                         157502    32007     2510 sd02_FL.dat 01DEC2004 
12 00330 COLLIER COUNTY SCHOOL DISTRICT                                      286634    42139     5476 sd02_FL.dat 01DEC2004 
12 00360 COLUMBIA COUNTY SCHOOL DISTRICT                                      60244    10915     2380 sd02_FL.dat 01DEC2004 
12 00390 DADE COUNTY SCHOOL DISTRICT                                        2341167   417064    95822 sd02_FL.dat 01DEC2004 
12 00420 DESOTO COUNTY SCHOOL DISTRICT                                        33879     5450     1475 sd02_FL.dat 01DEC2004 
12 00450 DIXIE COUNTY SCHOOL DISTRICT                                         13982     2184      586 sd02_FL.dat 01DEC2004 
12 00480 DUVAL COUNTY SCHOOL DISTRICT                                        817480   156418    22220 sd02_FL.dat 01DEC2004 
12 00510 ESCAMBIA COUNTY SCHOOL DISTRICT                                     295886    51105     9988 sd02_FL.dat 01DEC2004 
12 00540 FLAGLER COUNTY SCHOOL DISTRICT                                       62206     8578     1115 sd02_FL.dat 01DEC2004 
12 00570 FRANKLIN COUNTY SCHOOL DISTRICT                                      10003     1468      313 sd02_FL.dat 01DEC2004 
12 00600 GADSDEN COUNTY SCHOOL DISTRICT                                       45134     8415     1995 sd02_FL.dat 01DEC2004 
12 00630 GILCHRIST COUNTY SCHOOL DISTRICT                                     15633     2764      537 sd02_FL.dat 01DEC2004 
12 00660 GLADES COUNTY SCHOOL DISTRICT                                        11165     1741      297 sd02_FL.dat 01DEC2004 
12 00690 GULF COUNTY SCHOOL DISTRICT                                          15247     2134      388 sd02_FL.dat 01DEC2004 
12 00720 HAMILTON COUNTY SCHOOL DISTRICT                                      13917     2257      567 sd02_FL.dat 01DEC2004 
12 00750 HARDEE COUNTY SCHOOL DISTRICT                                        27659     5393     1509 sd02_FL.dat 01DEC2004 
12 00780 HENDRY COUNTY SCHOOL DISTRICT                                        37064     8171     1945 sd02_FL.dat 01DEC2004 
12 00810 HERNANDO COUNTY SCHOOL DISTRICT                                     143449    21004     3651 sd02_FL.dat 01DEC2004 
12 00840 HIGHLANDS COUNTY SCHOOL DISTRICT                                     91051    13038     2673 sd02_FL.dat 01DEC2004 
12 00870 HILLSBOROUGH COUNTY SCHOOL DISTRICT                                1073407   199791    32172 sd02_FL.dat 01DEC2004 
12 00900 HOLMES COUNTY SCHOOL DISTRICT                                        18986     3214      780 sd02_FL.dat 01DEC2004 
