,FIPS State Code,CCD District ID,District Name,Total Population,Population of Children 5 to 17 years of Age,Estimated Number of Children in Poverty,File Name,Created Date,Year,Child Poverty Rate
1100,12,870,Hillsborough County School District,1349050,225399,43582,sd15_FL.txt,22NOV2016,2015,0.19335489509713885
1101,12,900,Holmes County School District,19324,2895,864,sd15_FL.txt,22NOV2016,2015,0.29844559585492225
1102,12,930,Indian River County School District,147919,19053,3958,sd15_FL.txt,22NOV2016,2015,0.20773631449115626
1103,12,960,Jackson County School District,48599,6712,1852,sd15_FL.txt,22NOV2016,2015,0.2759237187127533
1104,12,990,Jefferson County School District,14081,1800,513,sd15_FL.txt,22NOV2016,2015,0.285
1105,12,1020,Lafayette County School District,8663,1302,339,sd15_FL.txt,22NOV2016,2015,0.26036866359447003
1106,12,1050,Lake County School District,325875,48209,9484,sd15_FL.txt,22NOV2016,2015,0.19672675226617437
1107,12,1080,Lee County School District,701982,96117,22455,sd15_FL.txt,22NOV2016,2015,0.23362152376790787
1108,12,1110,Leon County School District,286272,39387,8179,sd15_FL.txt,22NOV2016,2015,0.20765734887145504
1109,12,1140,Levy County School District,39832,5855,1869,sd15_FL.txt,22NOV2016,2015,0.31921434671221177
1110,12,1170,Liberty County School District,8331,1197,322,sd15_FL.txt,22NOV2016,2015,0.26900584795321636
1111,12,1200,Madison County School District,18408,2634,877,sd15_FL.txt,22NOV2016,2015,0.332953682611997
1112,12,1230,Manatee County School District,363369,51776,11448,sd15_FL.txt,22NOV2016,2015,0.22110630407911
1113,12,1260,Marion County School District,343254,47277,13746,sd15_FL.txt,22NOV2016,2015,0.2907544894980646
1114,12,1290,Martin County School District,156283,19863,3262,sd15_FL.txt,22NOV2016,2015,0.16422494084478678
1115,12,1320,Monroe County School District,77482,8192,1525,sd15_FL.txt,22NOV2016,2015,0.1861572265625
1116,12,1350,Nassau County School District,78444,11916,1733,sd15_FL.txt,22NOV2016,2015,0.1454347096341054
1117,12,1380,Okaloosa County School District,198664,30500,5472,sd15_FL.txt,22NOV2016,2015,0.17940983606557376
1118,12,1410,Okeechobee County School District,39469,6394,1922,sd15_FL.txt,22NOV2016,2015,0.30059430716296526
1119,12,1440,Orange County School District,1288126,210808,44113,sd15_FL.txt,22NOV2016,2015,0.20925676444916702
1120,12,1470,Osceola County School District,323993,60184,15340,sd15_FL.txt,22NOV2016,2015,0.2548850192742257
1121,12,1500,Palm Beach County School District,1422789,203974,39092,sd15_FL.txt,22NOV2016,2015,0.1916518772000353
1122,12,1530,Pasco County School District,497909,76814,13008,sd15_FL.txt,22NOV2016,2015,0.1693441299763064
1123,12,1560,Pinellas County School District,949827,116987,21093,sd15_FL.txt,22NOV2016,2015,0.18030208484703428
1124,12,1590,Polk County School District,650092,110185,27002,sd15_FL.txt,22NOV2016,2015,0.24506057993374777
1125,12,1620,Putnam County School District,72023,11405,4311,sd15_FL.txt,22NOV2016,2015,0.37799210872424377
1126,12,1650,Santa Rosa County School District,167040,28004,4172,sd15_FL.txt,22NOV2016,2015,0.14897871732609627
1127,12,1680,Sarasota County School District,405549,44736,7266,sd15_FL.txt,22NOV2016,2015,0.1624195278969957
1128,12,1710,Seminole County School District,449144,72492,10410,sd15_FL.txt,22NOV2016,2015,0.14360205264029136
1129,12,1740,St. Johns County School District,226640,38791,3376,sd15_FL.txt,22NOV2016,2015,0.08703049676471346
1130,12,1770,St. Lucie County School District,298563,45858,10808,sd15_FL.txt,22NOV2016,2015,0.23568406821056304
1131,12,1800,Sumter County School District,118891,6177,1754,sd15_FL.txt,22NOV2016,2015,0.28395661324267446
1132,12,1830,Suwannee County School District,43760,6798,2224,sd15_FL.txt,22NOV2016,2015,0.32715504560164754
1133,12,1860,Taylor County School District,22493,3125,878,sd15_FL.txt,22NOV2016,2015,0.28096
1134,12,1890,Union County School District,15234,2141,511,sd15_FL.txt,22NOV2016,2015,0.23867351704810835
1135,12,1920,Volusia County School District,517887,68854,15667,sd15_FL.txt,22NOV2016,2015,0.22753943126034798
1136,12,1950,Wakulla County School District,31535,4937,927,sd15_FL.txt,22NOV2016,2015,0.18776584970629936
1137,12,1980,Walton County School District,63508,9337,2248,sd15_FL.txt,22NOV2016,2015,0.24076255756667023
1138,12,2010,Washington County School District,24687,3730,1176,sd15_FL.txt,22NOV2016,2015,0.31528150134048255
1139,12,30,Alachua County School District,263496,33377,7359,sd16-fl.txt,02NOV2017,2016,0.22048116966773526
1140,12,60,Baker County School District,27937,5124,1124,sd16-fl.txt,02NOV2017,2016,0.21935987509758
1141,12,90,Bay County School District,183974,28010,6136,sd16-fl.txt,02NOV2017,2016,0.2190646197786505
1142,12,120,Bradford County School District,26926,3879,935,sd16-fl.txt,02NOV2017,2016,0.24104150554266562
1143,12,150,Brevard County School District,579130,79542,14998,sd16-fl.txt,02NOV2017,2016,0.18855447436574388
1144,12,180,Broward County School District,1909632,295468,48843,sd16-fl.txt,02NOV2017,2016,0.165307241393315
1145,12,210,Calhoun County School District,14423,2230,631,sd16-fl.txt,02NOV2017,2016,0.28295964125560535
1146,12,240,Charlotte County School District,178465,16854,3502,sd16-fl.txt,02NOV2017,2016,0.20778450219532454
1147,12,270,Citrus County School District,143621,15700,4217,sd16-fl.txt,02NOV2017,2016,0.2685987261146497
1148,12,300,Clay County School District,208311,37743,4380,sd16-fl.txt,02NOV2017,2016,0.11604800890231301
1149,12,330,Collier County School District,365136,47497,8103,sd16-fl.txt,02NOV2017,2016,0.17060024843674337
1150,12,360,Columbia County School District,69299,11012,2442,sd16-fl.txt,02NOV2017,2016,0.221758082092263
1151,12,390,Dade County School District,2712945,394651,93050,sd16-fl.txt,02NOV2017,2016,0.2357779405094628
1152,12,420,DeSoto County School District,35800,5277,1964,sd16-fl.txt,02NOV2017,2016,0.3721811635398901
1153,12,450,Dixie County School District,16300,2295,729,sd16-fl.txt,02NOV2017,2016,0.3176470588235294
1154,12,480,Duval County School District,926255,147336,28913,sd16-fl.txt,02NOV2017,2016,0.1962385296193734
1155,12,510,Escambia County School District,315187,46734,10973,sd16-fl.txt,02NOV2017,2016,0.23479693584970257
1156,12,540,Flagler County School District,108310,14514,2493,sd16-fl.txt,02NOV2017,2016,0.17176519222819348
1157,12,570,Franklin County School District,11901,1395,470,sd16-fl.txt,02NOV2017,2016,0.33691756272401435
1158,12,600,Gadsden County School District,46006,7474,2333,sd16-fl.txt,02NOV2017,2016,0.3121487824458121
1159,12,630,Gilchrist County School District,17212,2618,630,sd16-fl.txt,02NOV2017,2016,0.24064171122994651
1160,12,660,Glades County School District,13970,1791,457,sd16-fl.txt,02NOV2017,2016,0.25516471245114464
1161,12,690,Gulf County School District,15990,1828,513,sd16-fl.txt,02NOV2017,2016,0.28063457330415753
1162,12,720,Hamilton County School District,14361,2041,706,sd16-fl.txt,02NOV2017,2016,0.34590886820186184
1163,12,750,Hardee County School District,27360,5239,1597,sd16-fl.txt,02NOV2017,2016,0.3048291658713495
1164,12,780,Hendry County School District,39290,7695,2570,sd16-fl.txt,02NOV2017,2016,0.33398310591293046
1165,12,810,Hernando County School District,182835,25751,5100,sd16-fl.txt,02NOV2017,2016,0.19805056114325656
1166,12,840,Highlands County School District,100917,12918,3810,sd16-fl.txt,02NOV2017,2016,0.29493729679516956
1167,12,870,Hillsborough County School District,1376238,228744,43271,sd16-fl.txt,02NOV2017,2016,0.18916780330850208
1168,12,900,Holmes County School District,19487,2932,931,sd16-fl.txt,02NOV2017,2016,0.3175306957708049
1169,12,930,Indian River County School District,151563,19060,3682,sd16-fl.txt,02NOV2017,2016,0.1931794333683106
1170,12,960,Jackson County School District,48229,6606,1587,sd16-fl.txt,02NOV2017,2016,0.240236148955495
1171,12,990,Jefferson County School District,13906,1830,479,sd16-fl.txt,02NOV2017,2016,0.2617486338797814
1172,12,1020,Lafayette County School District,8617,1397,331,sd16-fl.txt,02NOV2017,2016,0.23693629205440228
1173,12,1050,Lake County School District,335396,48831,8890,sd16-fl.txt,02NOV2017,2016,0.1820564805144273
1174,12,1080,Lee County School District,722336,96845,19529,sd16-fl.txt,02NOV2017,2016,0.20165212452888637
1175,12,1110,Leon County School District,287822,38765,6491,sd16-fl.txt,02NOV2017,2016,0.16744486005417258
1176,12,1140,Levy County School District,39961,5872,1795,sd16-fl.txt,02NOV2017,2016,0.30568801089918257
1177,12,1170,Liberty County School District,8202,1148,293,sd16-fl.txt,02NOV2017,2016,0.25522648083623695
1178,12,1200,Madison County School District,18224,2556,894,sd16-fl.txt,02NOV2017,2016,0.34976525821596244
1179,12,1230,Manatee County School District,375888,52635,9982,sd16-fl.txt,02NOV2017,2016,0.18964567303125296
1180,12,1260,Marion County School District,349020,47672,12175,sd16-fl.txt,02NOV2017,2016,0.25539100520221514
1181,12,1290,Martin County School District,158701,19800,3115,sd16-fl.txt,02NOV2017,2016,0.15732323232323234
1182,12,1320,Monroe County School District,79077,8190,1436,sd16-fl.txt,02NOV2017,2016,0.17533577533577532
1183,12,1350,Nassau County School District,80622,11978,1633,sd16-fl.txt,02NOV2017,2016,0.13633327767573886
1184,12,1380,Okaloosa County School District,201170,30881,4955,sd16-fl.txt,02NOV2017,2016,0.1604546484893624
1185,12,1410,Okeechobee County School District,40314,6485,1708,sd16-fl.txt,02NOV2017,2016,0.26337702390131074
1186,12,1440,Orange County School District,1314367,213379,44506,sd16-fl.txt,02NOV2017,2016,0.20857722643746573
1187,12,1470,Osceola County School District,336015,61371,13740,sd16-fl.txt,02NOV2017,2016,0.22388424500171092
1188,12,1500,Palm Beach County School District,1443810,205311,35926,sd16-fl.txt,02NOV2017,2016,0.17498331799075548
1189,12,1530,Pasco County School District,512368,77344,12760,sd16-fl.txt,02NOV2017,2016,0.16497724451799753
1190,12,1560,Pinellas County School District,960730,116901,19940,sd16-fl.txt,02NOV2017,2016,0.17057168031069025
1191,12,1590,Polk County School District,666149,110382,26477,sd16-fl.txt,02NOV2017,2016,0.23986700730191518
1192,12,1620,Putnam County School District,72277,11522,4092,sd16-fl.txt,02NOV2017,2016,0.3551466759243187
1193,12,1650,Santa Rosa County School District,170497,28233,3784,sd16-fl.txt,02NOV2017,2016,0.13402755640562464
1194,12,1680,Sarasota County School District,412569,44899,7217,sd16-fl.txt,02NOV2017,2016,0.1607385465155126
1195,12,1710,Seminole County School District,455479,72393,8965,sd16-fl.txt,02NOV2017,2016,0.12383794013233324
1196,12,1740,St. Johns County School District,235087,39385,2757,sd16-fl.txt,02NOV2017,2016,0.07000126951885235
1197,12,1770,St. Lucie County School District,306507,45752,10395,sd16-fl.txt,02NOV2017,2016,0.227203182374541
1198,12,1800,Sumter County School District,123996,6271,1740,sd16-fl.txt,02NOV2017,2016,0.27746770849944186
1199,12,1830,Suwannee County School District,43794,6818,1914,sd16-fl.txt,02NOV2017,2016,0.2807274860662951
1200,12,1860,Taylor County School District,22175,3119,856,sd16-fl.txt,02NOV2017,2016,0.2744469381211927
1201,12,1890,Union County School District,15142,2102,488,sd16-fl.txt,02NOV2017,2016,0.23215984776403426
1202,12,1920,Volusia County School District,529364,68964,12608,sd16-fl.txt,02NOV2017,2016,0.1828200220404849
1203,12,1950,Wakulla County School District,31893,5080,823,sd16-fl.txt,02NOV2017,2016,0.16200787401574804
1204,12,1980,Walton County School District,65889,9473,1982,sd16-fl.txt,02NOV2017,2016,0.20922622189380344
1205,12,2010,Washington County School District,24569,3657,1056,sd16-fl.txt,02NOV2017,2016,0.2887612797374898
