12 01500 PALM BEACH COUNTY SCHOOL DISTRICT                                  1161608   185539    23366 sd00_FL.dat 13NOV2003
12 01530 PASCO COUNTY SCHOOL DISTRICT                                        358590    55312     8039 sd00_FL.dat 13NOV2003
12 01560 PINELLAS COUNTY SCHOOL DISTRICT                                     924909   135352    17264 sd00_FL.dat 13NOV2003
12 01590 POLK COUNTY SCHOOL DISTRICT                                         491851    89535    15459 sd00_FL.dat 13NOV2003
12 01620 PUTNAM COUNTY SCHOOL DISTRICT                                        70501    13115     3440 sd00_FL.dat 13NOV2003
12 01650 SANTA ROSA COUNTY SCHOOL DISTRICT                                   121764    24434     3088 sd00_FL.dat 13NOV2003
12 01680 SARASOTA COUNTY SCHOOL DISTRICT                                     333363    41681     4555 sd00_FL.dat 13NOV2003
12 01710 SEMINOLE COUNTY SCHOOL DISTRICT                                     373461    71525     6004 sd00_FL.dat 13NOV2003
12 01740 ST. JOHNS COUNTY SCHOOL DISTRICT                                    130108    23154     2056 sd00_FL.dat 13NOV2003
12 01770 ST. LUCIE COUNTY SCHOOL DISTRICT                                    198394    33992     5980 sd00_FL.dat 13NOV2003
12 01800 SUMTER COUNTY SCHOOL DISTRICT                                        54737     6659     1581 sd00_FL.dat 13NOV2003
12 01830 SUWANNEE COUNTY SCHOOL DISTRICT                                      35528     6270     1373 sd00_FL.dat 13NOV2003
12 01860 TAYLOR COUNTY SCHOOL DISTRICT                                        19345     3509      736 sd00_FL.dat 13NOV2003
12 01890 UNION COUNTY SCHOOL DISTRICT                                         13858     2199      358 sd00_FL.dat 13NOV2003
12 01920 VOLUSIA COUNTY SCHOOL DISTRICT                                      451641    70293    10115 sd00_FL.dat 13NOV2003
12 01950 WAKULLA COUNTY SCHOOL DISTRICT                                       24126     4620      684 sd00_FL.dat 13NOV2003
12 01980 WALTON COUNTY SCHOOL DISTRICT                                        42736     7007     1580 sd00_FL.dat 13NOV2003
12 02010 WASHINGTON COUNTY SCHOOL DISTRICT                                    21470     3744      873 sd00_FL.dat 13NOV2003
