Combined Mathematics (FSA Mathematics and FSA EOCs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Applied filters: Grade Level equal to 09-Ninth, 10-Tenth, 11-Eleventh, 12-Twelfth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Year,2014-15,2014-15,2014-15,2014-15,2014-15,2014-15,2014-15,2014-15,2015-16,2015-16,2015-16,2015-16,2015-16,2015-16,2015-16,2015-16,2016-17,2016-17,2016-17,2016-17,2016-17,2016-17,2016-17,2016-17,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18
,,% of Students (Level 5),# of Students,# of Students (Level 3 and Above),% of Students (Level 1),% of Students (Level 2),% of Students (Level 3 and Above),% of Students (Level 4 and Above),% of Students (Level 4),% of Students (Level 5),# of Students,# of Students (Level 3 and Above),% of Students (Level 1),% of Students (Level 2),% of Students (Level 3 and Above),% of Students (Level 4 and Above),% of Students (Level 4),% of Students (Level 5),# of Students,# of Students (Level 3 and Above),% of Students (Level 1),% of Students (Level 2),% of Students (Level 3 and Above),% of Students (Level 4 and Above),% of Students (Level 4),% of Students (Level 5),# of Students,# of Students (Level 3 and Above),% of Students (Level 1),% of Students (Level 2),% of Students (Level 3 and Above),% of Students (Level 4 and Above),% of Students (Level 4)
District,Grade Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44-MONROE,10-Tenth,4.0%,447,212,28.6%,23.9%,47.4%,14.3%,10.3%,6.6%,410,255,21.5%,16.3%,62.2%,16.8%,10.2%,7.9%,365,188,28.8%,19.7%,51.5%,19.7%,11.8%,6.9%,320,207,19.7%,15.6%,64.7%,23.4%,16.6%
44-MONROE,11-Eleventh,1.3%,236,50,57.2%,21.6%,21.2%,4.7%,3.4%,0.5%,211,55,54.0%,19.9%,26.1%,2.8%,2.4%,1.3%,297,53,60.3%,21.9%,17.8%,5.1%,3.7%,0.8%,132,42,47.7%,20.5%,31.8%,7.6%,6.8%
44-MONROE,12-Twelfth,0.0%,26,**,53.8%,23.1%,23.1%,7.7%,7.7%,4.5%,44,15,47.7%,18.2%,34.1%,11.4%,6.8%,9.5%,42,16,42.9%,19.0%,38.1%,9.5%,0.0%,19.2%,26,13,34.6%,15.4%,50.0%,26.9%,7.7%
45-NASSAU,09-Ninth,5.1%,817,426,24.4%,23.5%,52.1%,15.7%,10.5%,10.1%,937,551,24.4%,16.8%,58.8%,22.1%,12.0%,10.1%,815,552,17.2%,15.1%,67.7%,28.0%,17.9%,14.0%,773,604,11.6%,10.2%,78.1%,35.3%,21.3%
45-NASSAU,10-Tenth,7.2%,723,275,41.1%,20.9%,38.0%,14.5%,7.3%,11.3%,793,423,23.1%,23.6%,53.3%,21.6%,10.2%,8.2%,692,379,25.0%,20.2%,54.8%,16.2%,7.9%,3.4%,465,228,25.6%,25.4%,49.0%,13.5%,10.1%
45-NASSAU,11-Eleventh,1.8%,433,148,41.1%,24.7%,34.2%,7.6%,5.8%,1.8%,542,185,36.2%,29.7%,34.1%,6.5%,4.6%,2.2%,407,88,48.4%,30.0%,21.6%,3.2%,1.0%,2.2%,134,37,46.3%,26.1%,27.6%,4.5%,2.2%
45-NASSAU,12-Twelfth,1.9%,103,17,56.3%,27.2%,16.5%,2.9%,1.0%,6.3%,64,25,40.6%,20.3%,39.1%,12.5%,6.3%,0.0%,37,12,43.2%,24.3%,32.4%,16.2%,16.2%,0.0%,19,**,36.8%,21.1%,42.1%,10.5%,10.5%
46-OKALOOSA,09-Ninth,14.1%,"1,951","1,425",15.4%,11.6%,73.0%,35.8%,21.7%,15.5%,"1,975","1,456",14.2%,12.1%,73.7%,38.4%,22.9%,19.7%,"1,942","1,532",11.4%,9.7%,78.9%,43.3%,23.6%,21.0%,"1,799","1,382",13.5%,9.7%,76.8%,43.6%,22.6%
46-OKALOOSA,10-Tenth,9.1%,"1,866","1,078",21.6%,20.6%,57.8%,21.3%,12.3%,9.9%,"1,664","1,024",18.8%,19.7%,61.5%,22.4%,12.4%,13.2%,"1,775","1,168",19.1%,15.1%,65.8%,27.6%,14.4%,8.3%,"1,463",821,25.3%,18.6%,56.1%,20.4%,12.1%
46-OKALOOSA,11-Eleventh,2.1%,"1,085",355,39.3%,28.0%,32.7%,6.1%,4.0%,5.9%,962,401,33.8%,24.5%,41.7%,13.6%,7.7%,7.6%,990,501,28.7%,20.7%,50.6%,16.7%,9.1%,5.2%,330,133,40.6%,19.1%,40.3%,11.5%,6.4%
46-OKALOOSA,12-Twelfth,2.3%,219,45,56.2%,23.3%,20.5%,3.7%,1.4%,3.6%,138,46,44.9%,21.7%,33.3%,10.1%,6.5%,6.5%,200,85,36.0%,21.5%,42.5%,17.0%,10.5%,3.3%,92,27,52.2%,18.5%,29.3%,9.8%,6.5%
47-OKEECHOBEE,09-Ninth,2.4%,492,166,47.4%,18.9%,33.7%,7.5%,5.1%,2.8%,458,180,45.4%,15.3%,39.3%,8.5%,5.7%,2.7%,447,196,38.7%,17.4%,43.8%,10.1%,7.4%,2.2%,358,163,40.2%,14.2%,45.5%,9.2%,7.0%
47-OKEECHOBEE,10-Tenth,2.8%,395,133,39.7%,26.6%,33.7%,6.8%,4.1%,1.4%,432,90,56.3%,22.9%,20.8%,3.7%,2.3%,2.0%,357,86,52.9%,23.0%,24.1%,4.5%,2.5%,0.0%,205,54,44.4%,29.3%,26.3%,3.4%,3.4%
47-OKEECHOBEE,11-Eleventh,0.0%,203,18,69.0%,22.2%,8.9%,0.0%,0.0%,0.0%,219,12,83.1%,11.4%,5.5%,0.0%,0.0%,0.9%,112,10,67.9%,23.2%,8.9%,1.8%,0.9%,0.0%,40,**,65.0%,17.5%,17.5%,0.0%,0.0%
47-OKEECHOBEE,12-Twelfth,0.0%,48,**,60.4%,20.8%,18.8%,2.1%,2.1%,0.0%,53,**,86.8%,9.4%,3.8%,0.0%,0.0%,15.8%,19,**,42.1%,26.3%,31.6%,15.8%,0.0%,0.0%,10,**,60.0%,0.0%,40.0%,0.0%,0.0%
